line_id,from_bus,to_bus,r_ohm,x_ohm,rate_mva
1,1,2,0.0922,0.0470,5
2,2,3,0.4930,0.2511,5
3,3,4,0.3660,0.1864,5
4,4,5,0.3811,0.1941,5
5,5,6,0.8190,0.7070,5
6,6,7,0.1872,0.6188,5
7,7,8,1.7114,1.2351,5
8,8,9,1.0300,0.7400,5
9,9,10,1.0440,0.7400,5
10,10,11,0.1966,0.0650,5
11,11,12,0.3744,0.1238,5
12,12,13,1.4680,1.1550,5
13,13,14,0.5416,0.7129,5
14,14,15,0.5910,0.5260,5
15,15,16,0.7463,0.5450,5
16,16,17,1.2890,1.7210,5
17,17,18,0.7320,0.5740,5
18,2,19,0.1640,0.1565,5
19,19,20,1.5042,1.3554,5
20,20,21,0.4095,0.4784,5
21,21,22,0.7089,0.9373,5
22,3,23,0.4512,0.3083,5
23,23,24,0.8980,0.7091,5
24,24,25,0.8960,0.7011,5
25,6,26,0.2030,0.1034,5
26,26,27,0.2842,0.1447,5
27,27,28,1.0590,0.9337,5
28,28,29,0.8042,0.7006,5
29,29,30,0.5075,0.2585,5
30,30,31,0.9744,0.9630,5
31,31,32,0.3105,0.3619,5
32,32,33,0.3410,0.5302,5